A,B,C,D,E,F,G,SpecificSE,Step_1__History_Max__ALLSE,Step_1__History_Max__MASS,Design Feasibility,Objective and Penalty
144,0.746500699,1.587600696,0.46520654,2.541805381,0.138466289,0.149486549,0.179201137,372617509.9,6.72161,1.80389E-08,7,-372617509.9
145,1.062804408,2.939392385,0.454200316,2.462874441,0.120646158,0.134330298,0.127794315,306101126.3,2.87406,9.38925E-09,7,-306101126.3
146,0.915096482,1.674440564,0.433831235,2.230274761,0.171206606,0.17743686,0.249955683,391289076.2,7.9094,2.02137E-08,7,-391289076.2
147,1.277016688,1.609128093,0.370502641,2.33243302,0.105196405,0.209414419,0.225088778,354908248,5.71129,1.60923E-08,7,-354908248
148,0.801227611,2.423911564,0.439130262,2.861690503,0.278682463,0.179457632,0.159068405,366152165.8,9.18522,2.50858E-08,7,-366152165.8
149,1.105402903,2.232165773,0.129765527,3.539337944,0.164393524,0.10188772,0.144693782,347213211,5.20174,1.49814E-08,7,-347213211
150,0.495206254,1.521143777,0.132426388,3.394501095,0.285597393,0.179710401,0.126977907,408872044,11.4891,2.80995E-08,7,-408872044
151,0.719781949,2.393628147,0.467018336,2.493144855,0.151997914,0.149694131,0.169806013,338342767.1,4.78799,1.41513E-08,7,-338342767.1
152,1.12583477,2.051128307,0.228561347,2.8463322,0.138927477,0.170223314,0.256561468,357710433.7,5.94318,1.66145E-08,7,-357710433.7
153,0.355497225,2.012531247,0.228884616,2.626477959,0.152459103,0.170430895,0.285057238,355395521.5,6.00096,1.68853E-08,7,-355395521.5
154,1.147450136,2.051128307,0.243040423,2.628883895,0.152459103,0.170430895,0.264067441,365813769.5,6.2406,1.70595E-08,7,-365813769.5
155,0.71052535,2.330421833,0.220170203,3.510763695,0.167958919,0.179221128,0.162606468,336058518.9,6.41119,1.90776E-08,7,-336058518.9
156,1.114659403,2.257109633,0.425434041,2.559180148,0.105987393,0.104254693,0.129711335,347120938,3.99078,1.14968E-08,7,-347120938
157,0.719781949,2.30675836,0.439130262,2.542102043,0.105987393,0.178951037,0.159068405,340153247.7,4.03085,1.18501E-08,7,-340153247.7
